time,_Eihop,_P0,hops,d,_R,_Nb
41540039,0.133,0.32,1,135,250,90
45573971,0.03,0.07,1,135,250,90
85706962,0.14,0.10,1,135,250,90
89595759,0.104,0.28,1,135,250,90
139043198,0.18,0.10,1,135,250,90
166817587,0.46,0.18,1,135,250,90
191118400,0.18,0.10,1,135,250,90
194868421,0.82,0.25,1,135,250,90
201674111,0.46,0.18,1,135,250,90
217793114,0.43,0.18,1,135,250,90
225977786,0.172,0.36,1,135,250,90
238755051,0.79,0.25,1,135,250,90
296118459,0.86,0.25,1,135,250,90
324730668,0.14,0.10,1,135,250,90
353903126,0.68,0.21,1,135,250,90
357645613,0.25,0.14,1,135,250,90
379871366,0.129,0.32,1,135,250,90
415564736,0.194,0.39,1,135,250,90
439168774,0.57,0.21,1,135,250,90
461527539,0.43,0.18,1,135,250,90
485559365,0.54,0.21,1,135,250,90
489587144,0.122,0.32,1,135,250,90
498480504,0.43,0.18,1,135,250,90
541669116,0.136,0.32,1,135,250,90
554583138,0.07,0.07,1,135,250,90
571246413,0.07,0.07,1,135,250,90
593196535,0.64,0.21,1,135,250,90
637642906,0.126,0.32,1,135,250,90
661939671,0.28,0.14,1,135,250,90
681661332,0.82,0.25,1,135,250,90
701661400,0.158,0.36,1,135,250,90
708049077,0.82,0.25,1,135,250,90
710555887,0.39,0.18,1,135,250,90
727502235,0.61,0.21,1,135,250,90
756665263,0.79,0.25,1,135,250,90
767080399,0.100,0.28,1,135,250,90
780555991,0.176,0.36,1,135,250,90
820692560,0.172,0.36,1,135,250,90
833886886,0.169,0.36,1,135,250,90
836799111,0.176,0.36,1,135,250,90
846665359,0.100,0.28,1,135,250,90
874028255,0.169,0.36,1,135,250,90
916939703,0.86,0.25,1,135,250,90
952489524,0.129,0.32,1,135,250,90
974996323,0.162,0.36,1,135,250,90
977915978,0.194,0.39,1,135,250,90
985821485,0.64,0.21,1,135,250,90
1009996871,0.14,0.10,1,135,250,90
1026387727,0.133,0.32,1,135,250,90
1043598880,0.108,0.28,1,135,250,90
1089848906,0.176,0.36,1,135,250,90
1115821556,0.64,0.21,1,135,250,90
1121933798,0.18,0.10,1,135,250,90
1159021291,0.61,0.21,1,135,250,90
1161652578,0.64,0.21,1,135,250,90
1218596040,0.158,0.36,1,135,250,90
1251368522,0.25,0.14,1,135,250,90
1253603380,0.14,0.10,1,135,250,90
1256371401,0.169,0.36,1,135,250,90
1282627236,0.28,0.14,1,135,250,90
1326098899,0.86,0.25,1,135,250,90
1355536442,0.169,0.36,1,135,250,90
1394285204,0.07,0.07,1,135,250,90
1442340181,0.176,0.36,1,135,250,90
1447478682,0.82,0.25,1,135,250,90
1466095986,0.111,0.28,1,135,250,90
1482058726,0.82,0.25,1,135,250,90
1512613354,0.86,0.25,1,135,250,90
1543587213,0.111,0.28,1,135,250,90
