cpu,lpm,transmit,listen,hops,d,_R,_Nb
66716,916302,8651,279172,1,135,250,90
72178,910844,8754,283495,2,67,250,90
34010,293678,584,91736,1,135,250,90
32002,295676,366,94096,2,67,250,90
24977,302484,2731,92895,1,135,250,90
18294,309169,2214,94514,2,67,250,90
22127,305330,560,97643,1,135,250,90
13499,313959,56,98377,2,67,250,90
35752,291719,592,96117,1,135,250,90
24663,302818,54,97033,2,67,250,90
25644,301822,2476,96494,1,135,250,90
14801,312674,54,95302,2,67,250,90
32423,295268,1062,94612,1,135,250,90
22589,304885,2372,95887,2,67,250,90
37827,289631,478,96803,1,135,250,90
25885,301573,56,97132,2,67,250,90
27229,300238,632,96878,1,135,250,90
13502,313975,54,96161,2,67,250,90
33113,294353,458,95905,1,135,250,90
13515,313962,54,96989,2,67,250,90
41682,285785,476,97616,1,135,250,90
30927,296537,603,97585,1,135,250,90
39077,288387,539,95986,1,135,250,90
44583,282882,626,95732,1,135,250,90
31743,295719,733,93609,1,135,250,90
23018,304463,2372,93884,2,67,250,90
38497,288969,813,96649,1,135,250,90
42490,284974,493,96238,1,135,250,90
19772,307684,272,96068,2,67,250,90
31167,296299,532,95018,1,135,250,90
35646,291821,437,97664,2,67,250,90
34170,293296,360,95950,1,135,250,90
43642,283822,478,96594,1,135,250,90
31190,296272,444,95456,1,135,250,90
20092,307373,335,95418,2,67,250,90
35414,292052,524,96560,1,135,250,90
46983,280481,2619,94910,1,135,250,90
34644,292825,332,98527,2,67,250,90
32268,295189,653,96280,1,135,250,90
25223,302243,441,95692,2,67,250,90
36151,291313,1037,92024,1,135,250,90
23751,303714,442,97412,2,67,250,90
42705,284749,670,93509,1,135,250,90
36478,290989,442,93830,2,67,250,90
38863,288602,843,96043,1,135,250,90
42921,284543,791,95546,1,135,250,90
45755,281711,519,96707,1,135,250,90
34963,292500,422,95807,1,135,250,90
38343,289121,634,96434,1,135,250,90
44782,282682,578,96870,1,135,250,90
35703,291760,501,94414,1,135,250,90
