time,_Eihop,_P0,hops,d,_R,_Nb
55486,927532,8735,458338,1,135,250,90
55281,927738,8680,456026,2,67,250,90
22644,305041,2877,151673,1,135,250,90
13360,314322,57,149076,2,67,250,90
17784,309900,543,154933,1,135,250,90
17183,310280,2223,145886,2,67,250,90
18243,309217,425,157632,1,135,250,90
21616,305829,4373,145111,2,67,250,90
20916,306544,483,152764,1,135,250,90
17309,310138,2221,153245,2,67,250,90
26170,301283,2833,151456,1,135,250,90
17695,309751,2222,147891,2,67,250,90
21356,306090,703,153074,1,135,250,90
21813,305873,4381,141245,2,67,250,90
20716,306740,592,154952,1,135,250,90
12535,314914,57,158782,2,67,250,90
21922,305536,712,160999,1,135,250,90
13481,313985,55,153730,2,67,250,90
22176,305277,935,150415,1,135,250,90
17697,309770,2206,142003,2,67,250,90
19699,307761,414,160211,1,135,250,90
17763,309686,2216,152400,2,67,250,90
22448,305008,416,153368,1,135,250,90
17060,310387,2225,151127,2,67,250,90
23984,303470,652,151877,1,135,250,90
17255,310190,2222,152994,2,67,250,90
23068,304388,590,161694,1,135,250,90
12400,315047,57,151744,2,67,250,90
23480,303979,422,162646,1,135,250,90
12410,315058,56,152129,2,67,250,90
25442,302012,661,155919,1,135,250,90
13623,313845,55,150824,2,67,250,90
23920,303533,651,156908,1,135,250,90
13589,313878,55,151303,2,67,250,90
23623,303833,469,162694,1,135,250,90
13541,313925,55,153679,2,67,250,90
25239,302216,736,157531,1,135,250,90
13580,313888,111,160456,2,67,250,90
27029,300426,858,154782,1,135,250,90
14609,312848,112,156494,2,67,250,90
25828,301626,704,158802,1,135,250,90
17867,312650,2221,150502,2,67,250,90
28435,299021,2799,148528,1,135,250,90
13774,317522,114,148384,2,67,250,90
24174,303268,764,152975,1,135,250,90
13635,313853,57,152453,2,67,250,90
22859,304599,533,160649,1,135,250,90
13575,313891,55,150787,2,67,250,90
23950,303504,594,155436,1,135,250,90
13582,313875,55,158054,2,67,250,90
24008,303446,712,156689,1,135,250,90
14781,312696,221,149405,2,67,250,90
23617,303839,593,149978,1,135,250,90
13531,314155,59,158282,2,67,250,90
22687,304769,574,157843,1,135,250,90
15961,311507,276,147632,2,67,250,90
24190,303265,650,160666,1,135,250,90
13470,313987,57,157128,2,67,250,90
24528,302928,486,160848,1,135,250,90
13545,313921,55,153596,2,67,250,90
26221,301234,817,156309,1,135,250,90
13505,313961,55,155297,2,67,250,90
24390,303066,534,159846,1,135,250,90
13500,313967,55,152650,2,67,250,90
26754,300701,685,155908,1,135,250,90
17386,310081,2221,157072,2,67,250,90
29160,298292,1138,157210,1,135,250,90
12624,314824,58,149969,2,67,250,90
21797,305648,426,160798,1,135,250,90
13407,314062,55,153219,2,67,250,90
23789,303667,641,160973,1,135,250,90
13671,313794,55,146896,2,67,250,90
25549,301907,815,157065,1,135,250,90
13521,313945,55,156732,2,67,250,90
24360,303095,638,152664,1,135,250,90
13474,313993,55,157280,2,67,250,90
23157,304299,543,159589,1,135,250,90
13657,313810,55,145447,2,67,250,90
24625,302832,429,161630,1,135,250,90
13307,314160,56,161969,2,67,250,90
27707,299748,774,151633,1,135,250,90
15173,312295,111,148236,2,67,250,90
25765,301689,595,155964,1,135,250,90
13523,313933,56,153568,2,67,250,90
26097,301358,783,157138,1,135,250,90
13700,313768,56,150129,2,67,250,90
25583,301873,370,155591,1,135,250,90
13365,314101,55,160325,2,67,250,90
27778,299672,1494,142925,1,135,250,90
16510,310960,111,146877,2,67,250,90
25127,302317,2996,147696,1,135,250,90
15751,311702,224,138123,2,67,250,90
18498,308953,565,161751,1,135,250,90
13468,313990,57,155470,2,67,250,90
20222,307233,600,156234,1,135,250,90
13697,313770,56,148694,2,67,250,90
20586,306871,531,152635,1,135,250,90
17290,310176,2223,152968,2,67,250,90
26529,300928,2905,153808,1,135,250,90
12443,315004,58,154366,2,67,250,90
21710,305735,764,144643,1,135,250,90
12385,315082,55,159118,2,67,250,90
20199,307253,868,152625,1,135,250,90
12592,314875,55,148977,2,67,250,90
15016,312442,515,156933,1,135,250,90
12386,315082,55,157073,2,67,250,90
14583,312874,469,157176,1,135,250,90
12346,315121,55,155432,2,67,250,90
16591,310869,627,159414,1,135,250,90
12400,315066,55,156624,2,67,250,90
18285,309173,480,157950,1,135,250,90
12382,315085,55,155952,2,67,250,90
19696,307762,483,149075,1,135,250,90
21758,305710,4389,149269,2,67,250,90
20102,307355,479,157541,1,135,250,90
17473,309975,2213,147796,2,67,250,90
22578,304877,920,152304,1,135,250,90
12781,314668,57,151750,2,67,250,90
19081,308376,490,159309,1,135,250,90
13509,313955,55,151986,2,67,250,90
20605,306848,815,154531,1,135,250,90
13668,313799,55,151241,2,67,250,90
18048,309412,420,160107,1,135,250,90
16827,310639,2224,154055,2,67,250,90
20763,306694,593,148376,1,135,250,90
13665,313786,58,153147,2,67,250,90
18859,308595,756,156084,1,135,250,90
13530,313935,55,152309,2,67,250,90
19640,307816,684,150503,1,135,250,90
13698,313770,55,150480,2,67,250,90
19757,307700,764,148743,1,135,250,90
14674,312792,110,156654,2,67,250,90
19105,308351,650,157048,1,135,250,90
21744,305713,4389,144484,2,67,250,90
19511,307946,587,154321,1,135,250,90
17214,310233,2215,150487,2,67,250,90
19551,307901,829,145202,1,135,250,90
18022,309427,2225,144876,2,67,250,90
18164,309296,913,152426,1,135,250,90
22592,304855,4437,150530,2,67,250,90
17868,309590,592,155121,1,135,250,90
12662,314788,58,158466,2,67,250,90
19099,308357,638,152675,1,135,250,90
17914,309551,2222,149983,2,67,250,90
18737,308715,710,148063,1,135,250,90
21900,305546,4388,145230,2,67,250,90
15407,312050,489,156446,1,135,250,90
13347,314102,57,152751,2,67,250,90
15665,311794,536,156234,1,135,250,90
17591,309875,2220,152353,2,67,250,90
17741,309720,587,154483,1,135,250,90
21379,306067,4386,145832,2,67,250,90
19659,307798,813,151011,1,135,250,90
17775,309674,2281,151398,2,67,250,90
18898,308559,313,154958,1,135,250,90
21504,305942,4392,147458,2,67,250,90
21459,305997,806,159919,1,135,250,90
12896,314554,57,151577,2,67,250,90
19769,307682,923,141522,1,135,250,90
13772,313693,110,156121,2,67,250,90
18012,309448,599,155964,1,135,250,90
17490,309966,2212,156832,2,67,250,90
19087,308372,538,150581,1,135,250,90
21830,305619,4375,148008,2,67,250,90
19927,307531,534,156406,1,135,250,90
21571,305877,4372,149692,2,67,250,90
20264,307191,486,152829,1,135,250,90
16793,310654,2226,155182,2,67,250,90
21991,305461,874,146687,1,135,250,90
12767,314683,58,157089,2,67,250,90
18114,309345,433,158311,1,135,250,90
17331,310133,2214,154290,2,67,250,90
19849,307610,490,158022,1,135,250,90
12406,315043,58,154372,2,67,250,90
21038,306417,523,153999,1,135,250,90
21743,305724,4386,149563,2,67,250,90
22368,305089,598,157822,1,135,250,90
17253,310195,2212,149983,2,67,250,90
22176,305281,543,159849,1,135,250,90
12658,314791,57,152895,2,67,250,90
23566,303891,427,161626,1,135,250,90
13493,313972,55,154121,2,67,250,90
26774,300681,775,150705,1,135,250,90
15351,312116,110,156206,2,67,250,90
26808,300647,841,152213,1,135,250,90
18418,309038,2276,150602,2,67,250,90
25746,301710,734,154714,1,135,250,90
15480,311971,115,150434,2,67,250,90
26117,301339,707,157100,1,135,250,90
26619,300834,721,149037,1,135,250,90
18910,308545,2263,152445,2,67,250,90
15247,312203,114,147056,2,67,250,90
27439,300018,1039,155556,1,135,250,90
25193,302249,521,158405,1,135,250,90
26024,301431,602,159357,1,135,250,90
15976,311478,283,148603,2,67,250,90
27156,300298,819,159171,1,135,250,90
27440,300017,680,158821,1,135,250,90
15191,312269,169,149867,2,67,250,90
16353,311105,113,145918,2,67,250,90
29315,298140,1022,152357,1,135,250,90
17870,309588,169,142725,2,67,250,90
18371,309087,112,156380,2,67,250,90
28625,298815,899,152614,1,135,250,90
19868,307586,336,151240,2,67,250,90
28812,298644,875,152152,1,135,250,90
27185,300267,587,164045,1,135,250,90
19518,307938,394,139261,2,67,250,90
28972,298482,1085,150349,1,135,250,90
18078,309379,280,147409,2,67,250,90
27175,300267,782,155571,1,135,250,90
16922,310535,56,153291,2,67,250,90
18879,308587,225,152789,2,67,250,90
29024,298432,983,142352,1,135,250,90
18047,309410,166,152758,2,67,250,90
28522,298932,954,153800,1,135,250,90
17796,309657,393,148110,2,67,250,90
27327,300129,730,157582,1,135,250,90
16737,310722,169,146076,2,67,250,90
28543,298911,819,151063,1,135,250,90
26863,300590,650,160132,1,135,250,90
26988,300469,613,156832,1,135,250,90
28582,298871,916,153067,1,135,250,90
17447,310010,226,146663,2,67,250,90
17436,310021,226,151226,2,67,250,90
28385,299072,871,147370,1,135,250,90
27811,299642,691,156106,1,135,250,90
21388,306070,2284,156370,2,67,250,90
17708,309741,58,155436,2,67,250,90
28622,298835,1011,148855,1,135,250,90
19751,307714,113,146409,2,67,250,90
21416,306039,283,148181,2,67,250,90
28081,299363,837,148423,1,135,250,90
27915,299536,918,149998,1,135,250,90
19512,307945,118,152259,2,67,250,90
21039,306416,392,149384,2,67,250,90
32987,294468,3341,140487,1,135,250,90
20539,306916,335,152603,2,67,250,90
18849,308607,170,149780,2,67,250,90
18110,309346,167,151768,2,67,250,90
26600,300845,828,154757,1,135,250,90
16645,310808,337,149095,2,67,250,90
26860,300594,746,150262,1,135,250,90
15075,312383,113,156147,2,67,250,90
27449,300001,1301,145691,1,135,250,90
15418,312040,114,144069,2,67,250,90
21442,306006,585,155374,1,135,250,90
17619,309837,2217,149977,2,67,250,90
21409,306047,658,150576,1,135,250,90
12474,314975,58,154347,2,67,250,90
19737,307719,543,155566,1,135,250,90
12477,314990,55,153179,2,67,250,90
19914,307543,650,156791,1,135,250,90
12589,314877,55,149234,2,67,250,90
19352,308102,648,158488,1,135,250,90
12389,315078,55,153942,2,67,250,90
20215,307242,697,157921,1,135,250,90
12323,315144,55,155643,2,67,250,90
20205,307253,483,152165,1,135,250,90
21809,305659,4378,146712,2,67,250,90
19161,308290,865,150145,1,135,250,90
17650,309797,2210,145174,2,67,250,90
16828,310633,589,159638,1,135,250,90
12604,314845,57,153595,2,67,250,90
18294,309159,641,154205,1,135,250,90
17894,309570,2223,143646,2,67,250,90
14861,312598,479,156957,1,135,250,90
12331,315117,57,155430,2,67,250,90
14233,313224,415,154477,1,135,250,90
12328,315140,55,159391,2,67,250,90
14349,313109,416,156373,1,135,250,90
13523,313945,55,156317,2,67,250,90
13492,313966,361,154815,1,135,250,90
13446,314021,55,158505,2,67,250,90
18016,309442,741,158920,1,135,250,90
13621,313845,55,151360,2,67,250,90
16613,310845,481,146604,1,135,250,90
21751,305716,4393,148615,2,67,250,90
16009,311449,595,156065,1,135,250,90
17472,314045,2211,155547,2,67,250,90
16971,310490,586,159978,1,135,250,90
14065,317242,171,156289,2,67,250,90
18874,308582,487,149792,1,135,250,90
13722,313766,56,150331,2,67,250,90
20347,307109,954,149100,1,135,250,90
21620,305843,4372,146550,2,67,250,90
16450,311004,532,153607,1,135,250,90
13418,314263,58,152520,2,67,250,90
16548,310909,534,150725,1,135,250,90
17231,310235,2223,146756,2,67,250,90
17385,310075,680,160232,1,135,250,90
13553,313893,57,151902,2,67,250,90
19333,308125,754,158495,1,135,250,90
16892,310575,2211,147656,2,67,250,90
