cpu,lpm,transmit,listen,hops,d,_R,_Nb
74268,908814,10121,972874,2,67,250,90
15986,311686,164,327507,1,135,250,90
15274,312397,59,327612,2,67,250,90
26183,301266,2685,324748,1,135,250,90
22574,304887,2578,324867,2,67,250,90
15140,312304,160,327280,1,135,250,90
14505,312939,57,327386,2,67,250,90
15680,311780,157,327301,1,135,250,90
15006,312465,56,327414,2,67,250,90
19547,307904,156,327290,1,135,250,90
19529,307931,2574,324869,2,67,250,90
19577,307880,158,327292,1,135,250,90
14534,312911,57,327387,2,67,250,90
16425,311030,158,327293,1,135,250,90
14509,312956,55,327408,2,67,250,90
19897,307557,2674,324754,1,135,250,90
17634,309832,55,327409,2,67,250,90
15135,312309,157,327283,1,135,250,90
14504,312962,55,327410,2,67,250,90
15170,312287,158,327296,1,135,250,90
14538,312929,55,327411,2,67,250,90
16422,311036,156,327299,1,135,250,90
15744,311725,55,327412,2,67,250,90
16451,311002,157,327292,1,135,250,90
15785,311678,56,327407,2,67,250,90
16431,311024,157,327293,1,135,250,90
15795,311670,55,327408,2,67,250,90
16421,311035,157,327293,1,135,250,90
15816,311650,55,327409,2,67,250,90
19534,307922,157,327294,1,135,250,90
15784,311680,55,327408,2,67,250,90
16463,310994,156,327295,1,135,250,90
15826,311640,56,327410,2,67,250,90
16453,311003,157,327293,1,135,250,90
15784,311680,55,327408,2,67,250,90
16419,311036,155,327293,1,135,250,90
15785,311680,56,327409,2,67,250,90
16434,311022,156,327293,1,135,250,90
15830,311636,56,327410,2,67,250,90
16421,311035,157,327293,1,135,250,90
15785,311679,54,327408,2,67,250,90
16451,311006,157,327295,1,135,250,90
15785,311680,55,327407,2,67,250,90
22859,304595,2673,324755,1,135,250,90
22666,304798,2582,324869,2,67,250,90
15400,312046,160,327284,1,135,250,90
14718,312729,58,327389,2,67,250,90
16421,311034,157,327293,1,135,250,90
15785,311678,55,327407,2,67,250,90
16470,310986,157,327295,1,135,250,90
15835,311631,55,327408,2,67,250,90
16420,311035,155,327293,1,135,250,90
15784,311680,55,327408,2,67,250,90
16452,311005,156,327294,1,135,250,90
15785,311680,56,327409,2,67,250,90
16470,310986,156,327294,1,135,250,90
15864,311602,56,327411,2,67,250,90
16452,311004,157,327295,1,135,250,90
15816,311649,55,327409,2,67,250,90
16421,311034,157,327293,1,135,250,90
15784,311680,55,327408,2,67,250,90
16443,311013,156,327292,1,135,250,90
15806,311659,55,327409,2,67,250,90
16421,311035,157,327294,1,135,250,90
15816,311650,55,327408,2,67,250,90
16422,311034,157,327292,1,135,250,90
15784,311680,55,327408,2,67,250,90
16473,310984,156,327294,1,135,250,90
15867,311599,56,327411,2,67,250,90
16452,311004,157,327295,1,135,250,90
15816,311649,55,327409,2,67,250,90
16452,311004,156,327293,1,135,250,90
15785,311679,56,327408,2,67,250,90
16447,311008,157,327294,1,135,250,90
15811,311654,55,327408,2,67,250,90
22675,304781,157,327295,1,135,250,90
19924,307539,2579,324867,2,67,250,90
16424,311031,159,327290,1,135,250,90
14504,312940,57,327386,2,67,250,90
16477,310980,156,327294,1,135,250,90
14558,312909,55,327410,2,67,250,90
16481,310975,157,327294,1,135,250,90
14532,312934,55,327410,2,67,250,90
16421,311034,158,327293,1,135,250,90
14503,312962,55,327409,2,67,250,90
16481,310976,157,327294,1,135,250,90
14534,312932,55,327410,2,67,250,90
16421,311034,157,327294,1,135,250,90
14504,312961,55,327409,2,67,250,90
16420,311036,157,327293,1,135,250,90
14504,312962,55,327410,2,67,250,90
16480,310977,157,327294,1,135,250,90
14590,312877,55,327411,2,67,250,90
16452,311004,157,327295,1,135,250,90
14531,312934,54,327409,2,67,250,90
16451,311005,156,327293,1,135,250,90
14532,312934,55,327409,2,67,250,90
20385,307071,2676,324751,1,135,250,90
18392,309077,55,327413,2,67,250,90
16333,311351,158,327524,1,135,250,90
15687,311776,56,327407,2,67,250,90
16364,311092,157,327295,1,135,250,90
15685,311780,55,327409,2,67,250,90
16456,311001,156,327296,1,135,250,90
15848,311618,55,327410,2,67,250,90
16329,311126,156,327295,1,135,250,90
15685,311779,55,327408,2,67,250,90
16501,310956,157,327296,1,135,250,90
15815,311651,55,327410,2,67,250,90
16329,311126,157,327296,1,135,250,90
15723,311741,55,327408,2,67,250,90
16497,310960,157,327296,1,135,250,90
15815,311651,55,327410,2,67,250,90
16369,311086,157,327297,1,135,250,90
15685,311779,55,327408,2,67,250,90
16457,311000,157,327296,1,135,250,90
15852,311614,55,327410,2,67,250,90
16460,310996,157,327296,1,135,250,90
15815,311650,55,327409,2,67,250,90
16500,310956,156,327296,1,135,250,90
15685,311779,55,327408,2,67,250,90
16329,311126,156,327295,1,135,250,90
15727,311738,55,327409,2,67,250,90
19463,307993,157,327296,1,135,250,90
19212,308251,2578,324873,2,67,250,90
16375,311081,159,327293,1,135,250,90
13907,313538,57,327387,2,67,250,90
16486,310971,157,327297,1,135,250,90
13946,313519,55,327410,2,67,250,90
16329,311125,158,327294,1,135,250,90
13875,313590,55,327409,2,67,250,90
16374,311082,157,327296,1,135,250,90
13875,313590,55,327409,2,67,250,90
16328,311128,156,327296,1,135,250,90
13921,313544,55,327409,2,67,250,90
16459,310998,158,327297,1,135,250,90
13876,313590,55,327409,2,67,250,90
16375,311080,156,327296,1,135,250,90
13905,313560,55,327410,2,67,250,90
19601,307856,157,327297,1,135,250,90
13950,313515,55,327410,2,67,250,90
16330,311125,158,327295,1,135,250,90
13875,313590,55,327409,2,67,250,90
16377,311079,156,327296,1,135,250,90
13875,313590,55,327409,2,67,250,90
16328,311128,156,327296,1,135,250,90
13925,313540,55,327409,2,67,250,90
16459,310998,158,327297,1,135,250,90
13876,313590,55,327409,2,67,250,90
16379,311076,156,327296,1,135,250,90
13905,313560,55,327410,2,67,250,90
16455,311002,157,327296,1,135,250,90
13954,313511,55,327410,2,67,250,90
16446,311010,157,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
16381,311074,156,327296,1,135,250,90
13933,313532,55,327410,2,67,250,90
16458,310999,157,327296,1,135,250,90
13929,313536,55,327409,2,67,250,90
16328,311127,157,327296,1,135,250,90
13876,313590,55,327409,2,67,250,90
16514,310943,157,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
16455,311001,156,327297,1,135,250,90
13958,313507,55,327410,2,67,250,90
16328,311127,157,327295,1,135,250,90
13905,313560,55,327410,2,67,250,90
16387,311069,158,327296,1,135,250,90
13905,313560,55,327410,2,67,250,90
16329,311127,157,327296,1,135,250,90
13933,313532,55,327409,2,67,250,90
16329,311127,157,327296,1,135,250,90
13906,313560,55,327410,2,67,250,90
20723,306733,2675,324760,1,135,250,90
17010,310455,55,327409,2,67,250,90
14836,312611,156,327286,1,135,250,90
13964,313502,55,327411,2,67,250,90
14518,312936,158,327294,1,135,250,90
13905,313560,55,327410,2,67,250,90
14581,312875,158,327296,1,135,250,90
13875,313590,55,327409,2,67,250,90
14518,312938,159,327297,1,135,250,90
13937,313528,55,327409,2,67,250,90
14518,312938,158,327297,1,135,250,90
13876,313590,55,327409,2,67,250,90
14642,312815,158,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14547,312909,158,327297,1,135,250,90
14347,313119,55,327410,2,67,250,90
14549,312907,158,327296,1,135,250,90
13875,313589,55,327407,2,67,250,90
14584,312871,158,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14518,312938,158,327297,1,135,250,90
13941,313524,55,327409,2,67,250,90
14518,312938,158,327297,1,135,250,90
13906,313560,55,327410,2,67,250,90
14618,312839,158,327296,1,135,250,90
13875,313590,55,327409,2,67,250,90
15475,311984,158,327300,1,135,250,90
14980,312489,55,327414,2,67,250,90
15802,311651,157,327292,1,135,250,90
15157,312306,55,327406,2,67,250,90
15871,311584,158,327297,1,135,250,90
15157,312308,55,327408,2,67,250,90
19671,307783,2677,324760,1,135,250,90
18360,309105,55,327408,2,67,250,90
14518,312928,159,327287,1,135,250,90
15156,312309,55,327409,2,67,250,90
14588,312868,157,327296,1,135,250,90
15219,312247,55,327409,2,67,250,90
14574,312883,159,327297,1,135,250,90
15258,312208,55,327410,2,67,250,90
14516,312939,156,327296,1,135,250,90
15156,312308,55,327408,2,67,250,90
14592,312864,157,327296,1,135,250,90
15188,312278,54,327410,2,67,250,90
14517,312939,158,327297,1,135,250,90
15230,312234,55,327409,2,67,250,90
14548,312909,157,327296,1,135,250,90
15157,312308,56,327409,2,67,250,90
14593,312862,157,327296,1,135,250,90
15156,312309,54,327409,2,67,250,90
14544,312913,158,327296,1,135,250,90
15261,312205,54,327410,2,67,250,90
14546,312910,157,327297,1,135,250,90
15188,312277,55,327409,2,67,250,90
14625,312831,158,327297,1,135,250,90
15157,312307,56,327408,2,67,250,90
14516,312939,156,327296,1,135,250,90
15235,312230,55,327408,2,67,250,90
14518,312938,157,327297,1,135,250,90
15157,312308,56,327409,2,67,250,90
14597,312859,156,327296,1,135,250,90
15189,312277,55,327409,2,67,250,90
14572,312885,158,327298,1,135,250,90
15265,312200,55,327409,2,67,250,90
14516,312939,155,327295,1,135,250,90
15189,312277,55,327410,2,67,250,90
14599,312857,157,327297,1,135,250,90
15188,312277,55,327409,2,67,250,90
14516,312940,158,327297,1,135,250,90
15238,312226,55,327408,2,67,250,90
14518,312938,157,327297,1,135,250,90
15156,312309,55,327409,2,67,250,90
14633,312824,157,327296,1,135,250,90
15156,312309,54,327409,2,67,250,90
14544,312912,157,327296,1,135,250,90
15302,312164,54,327411,2,67,250,90
14517,312938,158,327296,1,135,250,90
15157,312307,55,327407,2,67,250,90
17740,309716,157,327296,1,135,250,90
18429,309034,2577,324866,2,67,250,90
14553,312904,159,327295,1,135,250,90
13991,313453,57,327387,2,67,250,90
14515,312940,156,327296,1,135,250,90
13875,313590,55,327408,2,67,250,90
14605,312851,157,327297,1,135,250,90
13905,313561,55,327410,2,67,250,90
14543,312914,158,327296,1,135,250,90
14017,313449,55,327409,2,67,250,90
14516,312939,157,327297,1,135,250,90
13874,313590,55,327408,2,67,250,90
14607,312849,157,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14546,312911,158,327297,1,135,250,90
13965,313500,55,327409,2,67,250,90
14516,312939,157,327297,1,135,250,90
13876,313590,55,327410,2,67,250,90
14609,312847,157,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14572,312885,158,327298,1,135,250,90
14022,313444,55,327410,2,67,250,90
14515,312940,156,327296,1,135,250,90
13874,313590,55,327408,2,67,250,90
14611,312845,157,327297,1,135,250,90
13876,313590,55,327409,2,67,250,90
14516,312940,158,327297,1,135,250,90
13969,313497,55,327409,2,67,250,90
14547,312910,157,327297,1,135,250,90
13876,313590,55,327410,2,67,250,90
14612,312843,157,327297,1,135,250,90
13904,313561,55,327410,2,67,250,90
14543,312914,158,327296,1,135,250,90
14025,313441,55,327409,2,67,250,90
14575,312881,157,327297,1,135,250,90
13903,313561,55,327409,2,67,250,90
14614,312841,157,327298,1,135,250,90
13904,313561,55,327409,2,67,250,90
14515,312941,157,327296,1,135,250,90
13972,313493,55,327408,2,67,250,90
14517,312939,157,327297,1,135,250,90
13876,313590,55,327410,2,67,250,90
14617,312839,157,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14600,312857,158,327298,1,135,250,90
13999,313466,55,327410,2,67,250,90
14514,312941,157,327295,1,135,250,90
13904,313561,55,327409,2,67,250,90
17757,309700,156,327296,1,135,250,90
13875,313590,55,327408,2,67,250,90
14516,312939,158,327297,1,135,250,90
13976,313489,55,327409,2,67,250,90
14518,312938,158,327297,1,135,250,90
13876,313590,55,327409,2,67,250,90
14622,312834,158,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14659,312799,159,327298,1,135,250,90
14006,313459,55,327410,2,67,250,90
14549,312906,158,327295,1,135,250,90
13905,313560,55,327410,2,67,250,90
14623,312832,158,327296,1,135,250,90
13875,313590,55,327409,2,67,250,90
14518,312938,158,327297,1,135,250,90
13980,313485,55,327409,2,67,250,90
14518,312938,158,327297,1,135,250,90
13876,313590,55,327409,2,67,250,90
14626,312830,157,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
15161,312297,158,327298,1,135,250,90
14637,312829,55,327410,2,67,250,90
14549,312906,158,327296,1,135,250,90
13875,313589,55,327408,2,67,250,90
14628,312827,159,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14519,312937,159,327297,1,135,250,90
13985,313480,55,327409,2,67,250,90
14518,312938,158,327297,1,135,250,90
13876,313590,55,327409,2,67,250,90
14630,312826,158,327297,1,135,250,90
14017,313449,55,327410,2,67,250,90
15175,312283,159,327298,1,135,250,90
14556,312909,55,327409,2,67,250,90
14517,312937,158,327295,1,135,250,90
13875,313589,55,327408,2,67,250,90
14632,312824,158,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14518,312938,159,327297,1,135,250,90
13989,313476,55,327409,2,67,250,90
14550,312907,157,327296,1,135,250,90
13875,313590,55,327409,2,67,250,90
14634,312821,159,327297,1,135,250,90
13875,313590,55,327409,2,67,250,90
14547,312910,159,327297,1,135,250,90
14281,313185,55,327410,2,67,250,90
14550,312906,159,327296,1,135,250,90
13874,313590,55,327408,2,67,250,90
14636,312819,158,327297,1,135,250,90
