cpu,lpm,transmit,listen,hops,d,_R,_Nb
73270,912752,13528,11370,1,45,250,52
16091,311610,331,2859,2,90,250,52
29175,298261,6933,6067,1,45,250,52
20655,306818,2383,2592,2,90,250,52
23862,303603,4792,6101,1,45,250,52
15226,312242,220,2552,2,90,250,52
23807,303660,4778,5927,1,45,250,52
15494,311987,216,2544,2,90,250,52
24189,303280,4780,5920,1,45,250,52
20724,306748,2368,2599,2,90,250,52
25082,302382,4701,6211,1,45,250,52
15260,312208,221,2503,2,90,250,52
24986,302480,4721,5891,1,45,250,52
15295,312181,216,2675,2,90,250,52
28534,298931,6935,5986,1,45,250,52
15223,312254,216,2545,2,90,250,52
23733,303733,4776,5928,1,45,250,52
15223,312254,216,2542,2,90,250,52
23701,303765,4730,5915,1,45,250,52
15256,312221,216,2542,2,90,250,52
23926,303541,4743,5883,1,45,250,52
20367,307110,2381,2530,2,90,250,52
25140,302326,4798,6222,1,45,250,52
15226,312240,220,2555,2,90,250,52
25498,301970,5179,5996,1,45,250,52
15214,312263,216,2479,2,90,250,52
25033,302433,4731,5896,1,45,250,52
15217,312260,216,2550,2,90,250,52
24979,302487,4736,5889,1,45,250,52
15217,312260,216,2550,2,90,250,52
25022,302445,4782,5875,1,45,250,52
15283,312195,216,2550,2,90,250,52
25117,302350,4782,5919,1,45,250,52
15218,312258,216,2545,2,90,250,52
24979,302486,4736,5893,1,45,250,52
15218,312259,217,2548,2,90,250,52
25080,302383,4731,6053,1,45,250,52
15232,312245,217,2548,2,90,250,52
25552,301918,5225,6015,1,45,250,52
15218,312259,217,2548,2,90,250,52
25087,302379,4786,5918,1,45,250,52
15246,312231,217,2548,2,90,250,52
25156,302309,4789,6021,1,45,250,52
15330,312146,216,2697,2,90,250,52
28923,298543,6935,5934,1,45,250,52
15217,312259,216,2548,2,90,250,52
23910,303558,4781,5933,1,45,250,52
16451,311029,216,2549,2,90,250,52
25155,302310,4791,5897,1,45,250,52
16518,310957,216,2544,2,90,250,52
25107,302358,4791,5897,1,45,250,52
16533,310945,216,2546,2,90,250,52
25024,302442,4781,5916,1,45,250,52
16500,310976,216,2546,2,90,250,52
25007,302459,4777,5927,1,45,250,52
16555,310923,216,2541,2,90,250,52
25204,302260,4784,6034,1,45,250,52
16500,310976,216,2546,2,90,250,52
25545,301923,5220,6026,1,45,250,52
16536,310941,216,2541,2,90,250,52
25012,302454,4786,5922,1,45,250,52
16523,310953,216,2544,2,90,250,52
25005,302458,4729,6078,1,45,250,52
16500,310977,216,2548,2,90,250,52
25550,301920,5224,6033,1,45,250,52
16530,310948,216,2546,2,90,250,52
25075,302391,4781,5928,1,45,250,52
16553,310924,216,2546,2,90,250,52
25110,302357,4781,5930,1,45,250,52
16530,310946,216,2546,2,90,250,52
25189,302276,4736,5906,1,45,250,52
16501,310975,216,2544,2,90,250,52
25200,302265,4729,5917,1,45,250,52
16556,310922,216,2546,2,90,250,52
25003,302463,4782,5883,1,45,250,52
16583,310893,216,2664,2,90,250,52
28740,298725,6943,5957,1,45,250,52
16507,310970,216,2543,2,90,250,52
23741,303725,4779,5901,1,45,250,52
16562,310916,216,2537,2,90,250,52
23827,303640,4778,5928,1,45,250,52
16505,310971,216,2543,2,90,250,52
23683,303783,4729,5908,1,45,250,52
16537,310941,216,2537,2,90,250,52
23870,303596,4729,5892,1,45,250,52
16530,310946,216,2546,2,90,250,52
23752,303715,4723,6060,1,45,250,52
16507,310970,216,2541,2,90,250,52
23737,303729,4723,5912,1,45,250,52
16506,310971,216,2537,2,90,250,52
23718,303748,4728,5915,1,45,250,52
16566,310912,216,2537,2,90,250,52
23806,303661,4779,5923,1,45,250,52
16537,310940,216,2542,2,90,250,52
23979,303484,4840,6068,1,45,250,52
20037,307438,2367,2602,2,90,250,52
24495,302976,5232,6353,1,45,250,52
15690,311780,221,2558,2,90,250,52
24429,303039,4841,5887,1,45,250,52
16423,311052,216,2544,2,90,250,52
24968,302494,4725,6057,1,45,250,52
16428,311049,216,2542,2,90,250,52
25501,301969,5219,6017,1,45,250,52
16568,310909,216,2542,2,90,250,52
25110,302357,4782,5935,1,45,250,52
16422,311054,216,2548,2,90,250,52
24977,302488,4787,5887,1,45,250,52
16530,310947,216,2546,2,90,250,52
24877,302590,4728,5922,1,45,250,52
16567,310909,216,2546,2,90,250,52
24947,302519,4727,5912,1,45,250,52
16422,311054,216,2546,2,90,250,52
25058,302408,4739,5909,1,45,250,52
16517,310960,216,2479,2,90,250,52
25121,302345,4784,5905,1,45,250,52
16566,310910,216,2548,2,90,250,52
25079,302387,4782,5935,1,45,250,52
16422,311054,216,2546,2,90,250,52
24977,302488,4784,5936,1,45,250,52
16422,311055,216,2546,2,90,250,52
24878,302588,4731,5926,1,45,250,52
16571,310906,216,2546,2,90,250,52
24888,302578,4732,5917,1,45,250,52
16529,310947,216,2546,2,90,250,52
24927,302539,4785,5923,1,45,250,52
16423,311053,216,2549,2,90,250,52
27222,303580,5751,6748,1,45,250,52
19267,308208,2379,2589,2,90,250,52
25390,302085,4796,5947,1,45,250,52
14679,312787,221,2555,2,90,250,52
24989,302471,4740,5996,1,45,250,52
14688,312789,216,2479,2,90,250,52
26331,301136,5670,6399,1,45,250,52
14717,312759,217,2547,2,90,250,52
26289,301184,5670,6263,1,45,250,52
14702,312775,217,2548,2,90,250,52
24877,302589,4737,5906,1,45,250,52
14701,312775,216,2546,2,90,250,52
25116,302345,4786,6049,1,45,250,52
14745,312731,216,2549,2,90,250,52
26286,301187,5670,6256,1,45,250,52
14671,312805,216,2546,2,90,250,52
24853,302613,4687,5874,1,45,250,52
14657,312819,216,2479,2,90,250,52
25050,302411,4738,6027,1,45,250,52
14707,312769,216,2482,2,90,250,52
26222,301251,5622,6235,1,45,250,52
14729,312747,216,2610,2,90,250,52
28594,298863,6940,6077,1,45,250,52
14706,312772,216,2541,2,90,250,52
24573,302893,5668,6408,1,45,250,52
14749,312727,216,2549,2,90,250,52
24971,302504,5668,6270,1,45,250,52
14671,312805,216,2549,2,90,250,52
23417,304043,4779,6045,1,45,250,52
14706,312771,216,2542,2,90,250,52
24612,302854,5666,6386,1,45,250,52
14724,312751,216,2549,2,90,250,52
24493,302980,5657,6262,1,45,250,52
14675,312801,216,2543,2,90,250,52
23322,304138,4778,6071,1,45,250,52
14675,312801,216,2542,2,90,250,52
24549,302924,5657,6264,1,45,250,52
14758,312719,216,2542,2,90,250,52
23267,304200,4778,5926,1,45,250,52
14706,312771,216,2544,2,90,250,52
23286,304180,4788,5929,1,45,250,52
14701,312775,216,2546,2,90,250,52
23337,304129,4787,5927,1,45,250,52
14728,312747,216,2546,2,90,250,52
23287,304179,4788,5929,1,45,250,52
14702,312775,217,2548,2,90,250,52
23237,304229,4787,5931,1,45,250,52
14670,312805,216,2549,2,90,250,52
23321,304146,4778,5922,1,45,250,52
14762,312715,216,2542,2,90,250,52
23607,303855,4722,6022,1,45,250,52
