_Eihop,_P0,hops,d,_R,_Nb
0.43,0.10,1,135,250,90
0.18,0.07,1,135,250,90
0.03,0.03,1,135,250,90
0.07,0.03,1,135,250,90
0.18,0.07,1,135,250,90
0.07,0.03,1,135,250,90
0.39,0.10,1,135,250,90
0.07,0.03,1,135,250,90
0.50,0.10,1,135,250,90
0.21,0.07,1,135,250,90
0.03,0.03,1,135,250,90
0.46,0.10,1,135,250,90
0.07,0.03,1,135,250,90
0.25,0.07,1,135,250,90
0.07,0.03,1,135,250,90
0.46,0.10,1,135,250,90
0.21,0.07,1,135,250,90
0.50,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.21,0.07,1,135,250,90
0.25,0.07,1,135,250,90
0.25,0.07,1,135,250,90
0.03,0.03,1,135,250,90
0.25,0.07,1,135,250,90
0.03,0.03,1,135,250,90
0.25,0.07,1,135,250,90
0.46,0.10,1,135,250,90
0.50,0.10,1,135,250,90
0.46,0.10,1,135,250,90
0.21,0.07,1,135,250,90
0.07,0.03,1,135,250,90
0.50,0.10,1,135,250,90
0.07,0.03,1,135,250,90
0.32,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.25,0.07,1,135,250,90
0.25,0.07,1,135,250,90
0.03,0.03,1,135,250,90
0.03,0.03,1,135,250,90
0.07,0.03,1,135,250,90
0.50,0.10,1,135,250,90
0.46,0.10,1,135,250,90
0.46,0.10,1,135,250,90
0.07,0.03,1,135,250,90
0.21,0.07,1,135,250,90
0.28,0.07,1,135,250,90
0.18,0.07,1,135,250,90
0.21,0.07,1,135,250,90
0.21,0.07,1,135,250,90
0.46,0.10,1,135,250,90
0.28,0.07,1,135,250,90
0.25,0.07,1,135,250,90
0.18,0.07,1,135,250,90
0.25,0.07,1,135,250,90
0.25,0.07,1,135,250,90
0.25,0.07,1,135,250,90
0.21,0.07,1,135,250,90
0.07,0.03,1,135,250,90
0.21,0.07,1,135,250,90
0.25,0.07,1,135,250,90
0.03,0.03,1,135,250,90
0.46,0.10,1,135,250,90
0.46,0.10,1,135,250,90
0.25,0.07,1,135,250,90
0.18,0.07,1,135,250,90
0.50,0.10,1,135,250,90
0.46,0.10,1,135,250,90
0.03,0.03,1,135,250,90
0.07,0.03,1,135,250,90
0.50,0.10,1,135,250,90
0.21,0.07,1,135,250,90
0.21,0.07,1,135,250,90
0.46,0.10,1,135,250,90
0.25,0.07,1,135,250,90
0.50,0.10,1,135,250,90
0.07,0.03,1,135,250,90
